t_s,alpha_deg,q_deg_s,theta_deg,delta_e_deg
0.23800000000000002,0.3494012526816637,13.50671968118722,0.26932790600200746,-5.0
0.24,0.3779489009290518,14.118936027887704,0.29695515209483514,-5.0
0.242,0.40731368775284577,14.721593450877824,0.3257972772575627,-5.0
0.244,0.43746779712849954,15.314662284953707,0.35583513326982247,-5.0
0.246,0.4683836886005945,15.898117072898577,0.38704951680165056,-5.0
0.248,0.5000341019532141,16.47193648853894,0.4194211777525147,-5.0
0.25,0.5323920616791554,17.036103259832124,0.45293082743648055,-5.0
0.252,0.5654308812504337,17.590604092013493,0.48755914661360833,-5.0
0.254,0.5991241671925643,18.135429590830828,0.5232867933677265,-5.0
0.256,0.6334458229651235,18.670574185893003,0.5600944108307842,-5.0
0.258,0.6683700526511163,19.196036054159304,0.5979626347540367,-5.0
0.26,0.7038713644576959,19.711817043595214,0.6368721009263726,-5.0
0.262,0.7399245740307998,20.217922597019935,0.6768034524401396,-5.0
0.264,0.7765048075862814,20.714361676170217,0.7177373468048778,-5.0
0.266,0.813587504860137,21.20114668600462,0.7596544629094164,-5.0
0.268,0.8511484218804376,21.67829339927159,0.8025355078328406,-5.0
0.27,0.8891636335635918,22.145820881364312,0.8463612235048754,-5.0
0.272,0.9276095361375748,22.603751415484584,0.8911123932162869,-5.0
0.274,0.966462849394772,23.052110428137475,0.9367698479799358,-5.0
0.276,1.0057006187770943,23.490926414977896,0.9833144727431713,-5.0
0.278,1.0453002172960295,23.920230867029748,1.030727212452286,-5.0
0.28,1.0852393472903037,24.340058197297562,1.078989077969798,-5.0
0.28200000000000003,1.125496042023829,24.75044566779022,1.1280811518453653,-5.0
0.28400000000000003,1.1660486671266221,25.151433316975588,1.1779845939411775,-5.0
0.28600000000000003,1.2068759218813823,25.543063887684454,1.2286806469126994,-5.0
0.28800000000000003,1.2479568403584147,25.92538275548162,1.2801506415456896,-5.0
0.29,1.2892707924015943,26.298437857521375,1.3323760019504416,-5.0
0.292,1.3307974844680608,26.66227962190411,1.3853382506142349,-5.0
0.294,1.3725169603243348,27.016960897550295,1.4390190133130125,-5.0
0.296,1.4144096016015482,27.362536884607515,1.49340002388334,-5.0
0.298,1.4564561282124733,27.699065065405637,1.5484631288557202,-5.0
0.3,1.498637598633037,28.02660513597486,1.6041902919503823,-5.0
0.302,1.5409354100509998,28.345218938140725,1.6605635984366791,-5.0
0.304,1.5833312983844736,28.654970392209677,1.717565259357265,-5.0
0.306,1.625807338172946,28.955925430258382,1.7751776156182448,-5.0
0.308,1.668345942343477,29.248151930039338,1.8333831419465152,-5.0
0.31,1.7109298618547137,29.531719649514944,1.892164450715546,-5.0
0.312,1.7535421852213782,29.806700162031724,1.9515042956408668,-5.0
0.314,1.7961663379218546,30.073166792145795,2.0113855753465493,-5.0
0.316,1.8387860816915076,30.331194552110304,2.071791336804005,-5.0
0.318,1.8813855137043407,30.58086007903512,2.132704778644424,-5.0
0.32,1.9239490656456026,30.82224157272844,2.1941092543462184,-5.0
0.322,1.9664615026779255,31.05541873422967,2.2559882752988325,-5.0
0.324,2.008907922303576,31.28047270504247,2.3183255137443237,-5.0
0.326,2.051273753125377,31.497486007076343,2.381104805598112,-5.0
0.328,2.093544753508855,31.70654248330467,2.444310153150331,-5.0
0.33,2.135707010148136,31.9077272391469,2.5079257276492153,-5.0
0.332,2.1777469365381164,32.101126584581834,2.5719358717679848,-5.0
0.334,2.2196512713554,32.28682797699881,2.6363251019566896,-5.0
0.336,2.261407076750492,32.46491996479299,2.7010781106805033,-5.0
0.338,2.303001736553705,32.635492131710734,2.766179768545953,-5.0
0.34,2.344422954397239,32.79863504195037,2.8316151263165983,-5.0
0.342,2.3856587517558445,32.95444018602355,2.897369416819668,-5.0
0.34400000000000003,2.4266974659084943,33.102999927381845,2.963428056745184,-5.0
0.34600000000000003,2.4675277478234436,33.24440744981289,3.0297766483391126,-5.0
0.34800000000000003,2.5081385599690456,33.37875670560992,3.0964009809920734,-5.0
0.35000000000000003,2.5485191740526782,33.50614236451842,3.1632870327251683,-5.0
0.352,2.5886591686901004,33.62665976346282,3.2304209715744836,-5.0
0.354,2.628548427007546,33.74040485705637,3.297789156875826,-5.0
0.356,2.668177134178837,33.847474168896404,3.3653781404512646,-5.0
0.358,2.7075357748997773,33.947964743647276,3.43317466769905,-5.0
0.36,2.746615130802062,34.041974099912686,3.5011656785884906,-5.0
0.362,2.785406277808917,34.129600183898944,3.569338308561361,-5.0
0.364,2.8239005834346593,34.21094132387016,3.637679889341431,-5.0
0.366,2.8620897040303435,34.28609618539633,3.7061779496536977,-5.0
0.368,2.899965581977636,34.35516372739471,3.774820215854904,-5.0
0.37,2.937520442833036,34.41824315896465,3.8435946124769393,-5.0
0.372,2.9747467924245328,34.475433897015925,3.9124892626846974,-5.0
0.374,3.011637413902767,34.52683552468996,3.9814924886499865,-5.0
0.376,3.0481853647487434,34.57254775057336,4.050592811843075,-5.0
0.378,3.0843839737400987,34.6126703687028,4.119778953243456,-5.0
0.38,3.1202268378779303,34.64730321935991,4.189039833471407,-5.0
0.382,3.155707819276137,34.67654615065469,4.258364572841935,-5.0
0.384,3.1908210420152154,34.70049898089569,4.327742491342672,-5.0
0.386,3.225560888962424,34.71926146174482,4.397163108537297,-5.0
0.388,3.2599219985601944,34.7329332421546,4.466616143396048,-5.0
0.39,3.293899261584657,34.74161383308516,4.536091514054891,-5.0
0.392,3.327487817876101,34.74540257299836,4.605579337504901,-5.0
0.394,3.3606830530431786,34.74439859412585,4.675069929213404,-5.0
0.396,3.3934805951426292,34.73870078950795,4.744553802678427,-5.0
0.398,3.4258763113362725,34.728407780799806,4.814021668917995,-5.0
0.4,3.457866304526993,34.71361788684111,4.883464435895804,-5.0
0.402,3.4894469099754066,34.69442909298554,4.95287320788479,-5.0
0.404,3.520614691898881,34.6709390211858,5.022239284770119,-5.0
0.406,3.551366440054545,34.64324490082995,5.0915541612930975,-5.0
0.40800000000000003,3.5816991663079003,34.61144354032448,5.160809526237499,-5.0
0.41000000000000003,3.6116101011886195,34.575631299419506,5.229997261559806,-5.0
0.41200000000000003,3.6410966904350817,34.535904062271214,5.299109441464834,-5.0
0.41400000000000003,3.6701565915291847,34.492357211236474,5.368138331428222,-5.0
0.41600000000000004,3.698787670222916,34.445085601394375,5.4370763871672265,-5.0
0.418,3.72698799705818,34.39418353578944,5.505916253561297,-5.0
0.42,3.7547558438812967,34.33974474139079,5.574650763523843,-5.0
0.422,3.78208968035362,34.28186234576174,5.643272936826639,-5.0
0.424,3.8089881704596396,34.220628854433805,5.7117759788782605,-5.0
0.426,3.8354501690139418,34.156136128979284,5.780153279457991,-5.0
0.428,3.861474718168361,34.0884753657762,5.848398411406542,-5.0
0.43,3.8870610439206277,34.01773707545932,5.916505129275006,-5.0
0.432,3.912208552625793,33.94401106305102,5.984467367933389,-5.0
0.434,3.9369168275116806,33.86738640876515,6.052279241140076,-5.0
0.436,3.9611856251995925,33.78795144947769,6.119935040073577,-5.0
0.438,3.9850148722314658,33.705793760857084,6.187429231827869,-5.0
0.44,4.00840466160465,33.62100014014761,6.254756457872656,-5.0
0.442,4.031355249315451,33.533656589598735,6.321911532479846,-5.0
0.444,4.053867050912557,33.44384830053341,6.388889441117519,-5.0
0.446,4.075940638061431,33.351659638048154,6.455685338812678,-5.0
0.448,4.097576735120751,33.25717412633772,6.522294548484005,-5.0
0.45,4.118776215731911,33.160474434636924,6.588712559245909,-5.0
0.452,4.1395400994226135,33.0616423637723,6.654935024685049,-5.0
0.454,4.159869548225532,32.960758833316085,6.720957761110573,-5.0
0.456,4.179765863312997,32.85790386933491,6.786776745779263,-5.0
0.458,4.199230481648646,32.7531565927257,6.852388115096758,-5.0
0.46,4.218264972656949,32.646595208130904,6.91778816279604,-5.0
0.462,4.2368710349114735,32.53829699342549,6.9829733380943075,-5.0
0.464,4.2550504928427735,32.4283382897678,7.04794024382941,-5.0
0.466,4.27280529346671,32.316794492206384,7.11268563457692,-5.0
0.468,4.290137503134022,32.20374004083502,7.177206414748981,-5.0
0.47000000000000003,4.307049304301942,32.089248412487834,7.241499636676008,-5.0
0.47200000000000003,4.323542992328579,31.973392112966643,7.305562498672299,-5.0
0.47400000000000003,4.33962097229085,31.856242669792447,7.369392343086643,-5.0
0.47600000000000003,4.355285755826634,31.737870625473036,7.4329866543389365,-5.0
0.47800000000000004,4.370539958001854,31.61834553127859,7.496343056943848,-5.0
0.48,4.385386294203144,31.497735941517224,7.559459313522541,-5.0
0.482,4.399827577056741,31.376109408302316,7.622333322803427,-5.0
0.484,4.4138667133742215,31.253532476803464,7.6849631176129565,-5.0
0.486,4.427506701125675,31.130070680972935,7.7473468628573725,-5.0
0.488,4.440750626440888,31.005788539739427,7.809482853496398,-5.0
0.49,4.453601660639087,30.880749553660976,7.87136951250976,-5.0
0.492,4.46606305728777,30.755016202028795,7.93300538885748,-5.0
0.494,4.478138149291122,30.628649940413908,7.994389155434818,-5.0
0.496,4.489830346008523,30.50171119864836,8.055519607022733,-5.0
0.498,4.501143130403577,30.374259379232836,8.116395658234753,-5.0
0.5,4.512080056224141,30.246352856162567,8.177016341461057,-5.0
0.502,4.522644745213746,30.11804897416325,8.237380804810645,-5.0
0.504,4.5328408843548225,29.98940404832902,8.297488310052357,-5.0
0.506,4.542672223144119,29.860473364154128,8.35733823055559,-5.0
0.508,4.552142570900657,29.731311177950438,8.416930049231444,-5.0
0.51,4.561255794106581,29.601970717642484,8.47626335647509,-5.0
0.512,4.570015813781214,29.472504183932127,8.535337848110105,-5.0
0.514,4.5784266028886185,29.342962751824746,8.594153323335489,-5.0
0.516,4.5864921837789705,29.213396572508927,8.652709682676084,-5.0
0.518,4.594216625663973,29.083854775581774,8.711006925937134,-5.0
0.52,4.601604042126597,28.954385471611754,8.769045150163585,-5.0
0.522,4.608658588665347,28.825035755031372,8.826824547604874,-5.0
0.524,4.6153844602732805,28.695851707351586,8.88434540368582,-5.0
0.526,4.621785889051976,28.56687840069032,8.941608094984264,-5.0
0.528,4.627867141860614,28.438159901607243,8.998613087216052,-5.0
0.53,4.63363251800034,28.309739275237018,9.055360933228014,-5.0
0.532,4.639086346934058,28.18165858971342,9.11185227099949,-5.0
0.534,4.644232986041769,28.05395892087665,9.168087821652982,-5.0
0.536,4.649076818411579,27.926680357256217,9.224068387474514,-5.0
0.538,4.653622250666465,27.799862005321952,9.279794849944206,-5.0
0.54,4.657873710826873,27.67354199499556,9.335268167777635,-5.0
0.542,4.661835646209238,27.54775748541536,9.390489374978452,-5.0
0.544,4.665512521360444,27.422544670946834,9.445459578902797,-5.0
0.546,4.668908816028286,27.29793878743164,9.500179958335949,-5.0
0.548,4.67202902316794,27.173974118667896,9.55465176158173,-5.0
0.55,4.674877646984458,27.050684003114508,9.608876304565088,-5.0
0.552,4.677459201011278,26.92810084081243,9.662854968948295,-5.0
0.554,4.679778206224729,26.806256100515817,9.716589200261211,-5.0
0.556,4.6818391891945,26.685180327026075,9.770080506046018,-5.0
0.558,4.683646680270033,26.564903148721843,9.823330454016805,-5.0
0.56,4.68520521180277,26.44545328527813,9.876340670234411,-5.0
0.562,4.686519316404194,26.326858555567767,9.929112837296893,-5.0
0.5640000000000001,4.68759352523958,26.20914588573846,9.98164869254597,-5.0
0.5660000000000001,4.688432366357364,26.09234131745884,10.033950026289785,-5.0
0.5680000000000001,4.68904036305401,25.976470016326914,10.086018680042338,-5.0
0.5700000000000001,4.689422032274291,25.861556280434435,10.137856544779874,-5.0
0.5720000000000001,4.6895818830468174,25.747623549080746,10.189465559214568,-5.0
0.5740000000000001,4.689524414954705,25.634694411629816,10.240847708085768,-5.0
0.5760000000000001,4.68925411664122,25.52279061650412,10.292005020469103,-5.0
0.578,4.688775464350248,25.411933080309257,10.342939568103695,-5.0
0.58,4.688092920501416,25.302141897083114,10.393653463737758,-5.0
0.582,4.687210932299689,25.193436347663628,10.444148859492813,-5.0
0.584,4.686133930379266,25.085834909169105,10.494427945246748,-5.0
0.586,4.684866327481553,24.97935526458532,10.544492947035947,-5.0
0.588,4.683412517167041,24.874014312453518,10.594346125476699,-5.0
0.59,4.681776872560851,24.769828176653654,10.643989774206078,-5.0
0.592,4.679963745131736,24.666812216277243,10.693426218342475,-5.0
0.594,4.677977463504306,24.564981035584257,10.742657812965968,-5.0
0.596,4.6758223323042465,24.464348494038603,10.791686941618675,-5.0
0.598,4.67350263103627,24.364927716416826,10.84051601482527,-5.0
0.6,4.671022612994569,24.26673110298472,10.88914746863377,-5.0
0.602,4.6683865042054915,24.169770339736605,10.93758376317673,-5.0
0.604,4.665598502402193,24.074056408692204,10.985827381253008,-5.0
0.606,4.662662776030968,23.979599598246033,11.033880826930144,-5.0
0.608,4.659583463289014,23.886409513564317,11.081746624167502,-5.0
0.61,4.656364671193312,23.794495087024604,11.12942731546025,-5.0
0.612,4.653010474680353,23.70386458869326,11.176925460504245,-5.0
0.614,4.64952491573641,23.614525636836124,11.224243634881924,-5.0
0.616,4.645912002558047,23.526485208457697,11.271384428769242,-5.0
0.618,4.642175708742571,23.439749649864357,11.318350445663691,-5.0
0.62,4.638319972508103,23.354324687247104,11.365144301133506,-5.0
0.622,4.634348695942958,23.27021543727948,11.411768621588013,-5.0
0.624,4.6302657442840145,23.187426417726357,11.458226043069212,-5.0
